Source,Target
0,1437
0,1854
0,2245
0,3771
0,5021
0,5586
0,6595
0,6651
0,9173
0,9256
0,9857
0,10563
0,10820
1437,163
1437,328
1437,1563
1437,1725
1437,1906
1437,2243
1437,2245
1437,2792
1437,3320
1437,3771
1437,3895
1437,4475
1437,5163
1437,5565
1437,5693
1437,5911
1437,6085
1437,6171
1437,7133
1437,7297
1437,8184
1437,9256
1437,10071
1437,10563
1437,10729
1437,12011
1437,12029
1854,1672
1854,3771
1854,4014
1854,4956
1854,5268
1854,6411
1854,6651
1854,8012
1854,8456
1854,9857
1854,10082
1854,11976
2245,163
2245,2243
2245,2792
2245,3237
2245,3771
2245,3997
2245,4119
2245,5565
2245,6085
2245,7133
2245,7298
2245,8040
2245,8055
2245,9963
2245,10071
2245,10563
2245,11060
2245,11651
2245,12011
3771,134
3771,163
3771,240
3771,441
3771,497
3771,1049
3771,1218
3771,1264
3771,1361
3771,1575
3771,1680
3771,1725
3771,1729
3771,2255
3771,2416
3771,2436
3771,2582
3771,2752
3771,2792
3771,2992
3771,3189
3771,3320
3771,3458
3771,3575
3771,3823
3771,3860
3771,3997
3771,4040
3771,4119
3771,4475
3771,4527
3771,4617
3771,4827
3771,4936
3771,5021
3771,5204
3771,5387
3771,5586
3771,5911
3771,6085
3771,6249
3771,6355
3771,6381
3771,6651
3771,6757
3771,6771
3771,6976
3771,7383
3771,7668
3771,8184
3771,8263
3771,8322
3771,8597
3771,8640
3771,8788
3771,8810
3771,9173
3771,9256
3771,9825
3771,9836
3771,9857
3771,9963
3771,10021
3771,10049
3771,10077
3771,10110
3771,10448
3771,10456
3771,10563
3771,11060
3771,11070
3771,11094
3771,11449
3771,11471
3771,11603
3771,11678
3771,11712
3771,11762
3771,12127
5021,240
5021,282
5021,1137
5021,1218
5021,1680
5021,2930
5021,2952
5021,3059
5021,3400
5021,3599
5021,3823
5021,3844
5021,3860
5021,4119
5021,4936
5021,5204
5021,5586
5021,5767
5021,6254
5021,6420
5021,7152
5021,7426
5021,7638
5021,8086
5021,8597
5021,8667
5021,8945
5021,9407
5021,9564
5021,9836
5021,10077
5021,10448
5021,10563
5021,10627
5021,11094
5021,11434
5021,11449
5021,11515
5021,11678
5021,11762
5021,11949
5586,134
5586,144
5586,240
5586,729
5586,957
